,Name,Position1,Position2,Age,Matches,Starts,Mins,Goals,Assists
0,Mason Mount,MF,FW,21,36,32,2890,6,5
1,Edouard Mendy,GK,GK,28,31,31,2745,0,0
2,Timo Werner,FW,FW,24,35,29,2602,6,8
3,Ben Chilwell,DF,DF,23,27,27,2286,3,5
4,Reece James,DF,DF,20,32,25,2373,1,2
5,César Azpilicueta,DF,DF,30,26,24,2188,1,2
6,N'Golo Kanté,MF,MF,29,30,24,2146,0,2
7,Jorginho,MF,MF,28,28,23,2010,7,1
8,Thiago Silva,DF,DF,35,23,23,1935,2,0
9,Kurt Zouma,DF,DF,25,24,22,2029,5,0
10,Mateo Kovačić,MF,MF,26,27,21,1815,0,1
11,Antonio Rüdiger,DF,DF,27,19,19,1710,1,0
12,Christian Pulisic,FW,MF,21,27,18,1738,4,2
13,Kai Havertz,MF,FW,21,27,18,1520,4,3
14,Andreas Christensen,DF,DF,24,17,15,1371,0,0
15,Hakim Ziyech,FW,MF,27,23,15,1172,2,3
16,Tammy Abraham,FW,FW,22,22,12,1040,6,1
17,Marcos Alonso,DF,DF,29,13,11,960,2,0
18,Callum Hudson-Odoi,FW,DF,19,23,10,1059,2,3
19,Olivier Giroud,FW,FW,33,17,8,748,4,0
20,Kepa Arrizabalaga,GK,GK,25,7,6,585,0,0
21,Billy Gilmour,MF,MF,19,5,3,261,0,0
22,Willy Caballero,GK,GK,38,1,1,90,0,0
23,Ruben Loftus-Cheek,FW,FW,24,1,1,60,0,0
24,Emerson Palmieri,DF,DF,25,2,0,90,0,0
25,Fikayo Tomori,DF,DF,22,1,0,45,0,0
26,Ross Barkley,MF,MF,26,2,0,42,0,0
27,Ederson,GK,GK,26,36,36,3240,0,1
28,Rúben Dias,DF,DF,23,32,32,2843,1,0
29,Rodri,MF,MF,24,34,31,2748,2,2
30,Raheem Sterling,FW,FW,25,31,28,2536,10,7
31,João Cancelo,DF,DF,26,28,27,2299,2,3
32,Bernardo Silva,MF,FW,25,26,24,2065,2,6
33,İlkay Gündoğan,MF,MF,29,28,23,2029,13,2
34,Kevin De Bruyne,MF,MF,29,25,23,1997,6,12
35,Riyad Mahrez,FW,FW,29,27,23,1949,9,6
36,Gabriel Jesus,FW,FW,23,29,22,2063,9,4
37,Kyle Walker,DF,DF,30,24,22,1946,1,1
38,John Stones,DF,DF,26,22,22,1933,4,0
39,Phil Foden,FW,MF,20,28,17,1616,9,5
40,Oleksandr Zinchenko,DF,DF,23,20,15,1478,0,0
41,Ferrán Torres,FW,MF,20,24,15,1306,7,2
42,Aymeric Laporte,DF,DF,26,16,14,1344,0,0
43,Fernandinho,MF,MF,35,21,12,1188,0,2
44,Benjamin Mendy,DF,DF,26,13,11,953,2,1
45,Nathan Aké,DF,DF,25,10,9,797,1,0
46,Sergio Agüero,FW,MF,32,12,7,559,4,1
47,Eric García,DF,DF,19,6,3,383,0,0
48,Scott Carson,GK,GK,34,1,1,90,0,0
49,Zack Steffen,GK,GK,25,1,1,90,0,0
50,Liam Delap,FW,FW,17,1,0,40,0,0
51,Bruno Fernandes,MF,MF,25,37,35,3099,18,12
52,Aaron Wan-Bissaka,DF,DF,22,34,34,3060,2,4
53,Harry Maguire,DF,DF,27,34,34,3047,2,1
54,Marcus Rashford,FW,FW,22,37,33,2920,11,9
55,Luke Shaw,DF,DF,25,32,30,2654,1,5
56,Victor Lindelöf,DF,DF,26,29,29,2585,1,1
57,Fred,MF,MF,27,30,27,2390,1,0
58,David de Gea,GK,GK,29,26,26,2295,0,0
59,Scott McTominay,MF,MF,23,32,24,2129,4,1
60,Paul Pogba,MF,FW,27,26,21,1897,3,3
61,Mason Greenwood,FW,FW,18,31,21,1822,7,2
62,Anthony Martial,FW,FW,24,22,17,1480,4,3
63,Edinson Cavani,FW,FW,33,26,13,1375,10,3
64,Dean Henderson,GK,GK,23,13,12,1125,0,0
65,Nemanja Matić,MF,MF,31,20,12,1106,0,0
66,Daniel James,FW,FW,22,15,11,910,3,1
67,Eric Bailly,DF,DF,26,12,10,916,0,0
68,Alex Telles,DF,DF,27,9,8,690,0,2
69,Juan Mata,FW,MF,32,9,6,509,1,2
70,Donny van de Beek,MF,FW,23,19,4,524,1,1
71,Axel Tuanzebe,DF,DF,22,9,4,404,0,0
72,Brandon Williams,DF,DF,19,4,2,188,0,0
73,Amad Diallo,FW,FW,18,3,2,166,0,1
74,Anthony Elanga,FW,FW,18,2,2,155,1,0
75,Timothy Fosu-Mensah,DF,DF,22,1,1,80,0,0
76,Shola Shoretire,FW,FW,16,2,0,11,0,0
77,Odion Ighalo,FW,FW,31,1,0,10,0,0
78,Hannibal Mejbri,MF,MF,17,1,0,9,0,0
79,William Thomas Fish,DF,DF,17,1,0,1,0,0
80,Andrew Robertson,DF,DF,26,38,38,3383,1,7
81,Mohamed Salah,FW,FW,28,37,34,3078,22,5
82,Trent Alexander-Arnold,DF,DF,21,36,34,3031,2,7
83,Georginio Wijnaldum,MF,MF,29,38,34,2941,2,0
84,Alisson,GK,GK,27,33,33,2970,1,0
85,Roberto Firmino,FW,FW,28,36,33,2838,9,7
86,Sadio Mané,FW,FW,28,35,31,2810,11,7
87,Fabinho,DF,MF,26,30,28,2567,0,0
88,Thiago Alcántara,MF,MF,29,24,20,1854,1,0
89,Jordan Henderson,MF,DF,30,21,20,1704,1,1
90,Nathaniel Phillips,DF,DF,23,17,15,1456,1,1
91,Curtis Jones,MF,MF,19,24,13,1179,1,2
92,Diogo Jota,FW,FW,23,19,12,1112,9,0
93,James Milner,MF,DF,34,26,11,1070,0,1
94,Ozan Kabak,DF,DF,20,9,9,801,0,0
95,Joël Matip,DF,DF,28,10,9,691,1,2
96,Rhys Williams,DF,DF,19,9,7,661,0,0
97,Naby Keïta,MF,MF,25,10,7,520,0,0
98,Joe Gomez,DF,DF,23,7,6,590,0,0
99,Xherdan Shaqiri,MF,FW,28,14,5,556,0,2
100,Virgil van Dijk,DF,DF,29,5,5,370,1,0
101,Adrián,GK,GK,33,3,3,270,0,0
102,Neco Williams,DF,DF,19,6,3,249,0,0
103,Takumi Minamino,MF,FW,25,9,2,293,1,0
104,Alex Oxlade-Chamberlain,FW,MF,26,13,2,253,1,1
105,Divock Origi,FW,FW,25,9,2,186,0,0
106,Caoimhín Kelleher,GK,GK,21,2,2,180,0,0
107,Kostas Tsimikas,DF,DF,24,2,0,7,0,0
108,Kasper Schmeichel,GK,GK,33,38,38,3420,0,0
109,Youri Tielemans,MF,MF,23,38,37,3357,6,4
110,Jamie Vardy,FW,FW,33,34,31,2840,15,9
111,Jonny Evans,DF,DF,32,28,28,2473,2,2
112,Timothy Castagne,DF,DF,24,27,27,2345,2,3
113,Wesley Fofana,DF,DF,19,28,27,2262,0,0
114,Wilfred Ndidi,MF,DF,23,26,25,2176,1,4
115,James Maddison,MF,FW,23,31,24,2099,8,5
116,James Justin,DF,DF,22,23,23,2070,2,1
117,Harvey Barnes,FW,MF,22,25,22,1945,9,4
118,Çağlar Söyüncü,DF,DF,24,23,19,1819,1,0
119,Marc Albrighton,DF,FW,30,31,17,1746,1,5
120,Kelechi Iheanacho,FW,FW,23,25,16,1459,12,2
121,Nampalys Mendy,MF,MF,28,23,15,1459,0,1
122,Ayoze Pérez,MF,FW,27,25,15,1331,2,1
123,Luke Thomas,DF,DF,19,14,12,969,1,0
124,Ricardo Pereira,DF,DF,26,15,10,959,0,1
125,Dennis Praet,MF,FW,26,15,10,718,1,1
126,Daniel Amartey,DF,DF,25,12,8,722,1,0
127,Christian Fuchs,DF,DF,34,9,8,702,0,0
128,Hamza Choudhury,MF,MF,22,10,4,316,0,0
129,Cengiz Ünder,MF,FW,23,9,1,281,0,2
130,Sidnei Tavares,MF,MF,18,2,1,85,0,0
131,Islam Slimani,FW,FW,32,1,0,20,0,0
132,Demarai Gray,FW,FW,24,1,0,19,0,0
133,Wes Morgan,DF,DF,36,3,0,18,0,0
134,Khanya Leshabela,MF,MF,20,1,0,10,0,0
135,Tomáš Souček,MF,MF,25,38,38,3419,10,1
136,Aaron Cresswell,DF,DF,30,36,36,3170,0,8
137,Łukasz Fabiański,GK,GK,35,35,35,3150,0,0
138,Vladimír Coufal,DF,DF,27,34,34,3054,0,7
139,Declan Rice,MF,MF,21,32,32,2879,2,1
140,Pablo Fornals,FW,MF,24,33,31,2572,5,4
141,Jarrod Bowen,FW,MF,23,38,30,2562,8,5
142,Angelo Ogbonna,DF,DF,32,28,28,2492,3,0
143,Michail Antonio,FW,FW,30,26,24,1974,10,5
144,Craig Dawson,DF,DF,30,22,22,1925,3,0
145,Jesse Lingard,MF,FW,27,16,16,1421,9,4
146,Issa Diop,DF,DF,23,18,15,1381,2,0
147,Saïd Benrahma,FW,MF,24,30,14,1391,1,6
148,Fabián Balbuena,DF,DF,28,14,13,1198,1,0
149,Arthur Masuaku,DF,FW,26,12,12,1006,0,2
150,Sébastien Haller,FW,FW,26,16,10,937,3,0
151,Mark Noble,MF,MF,33,21,8,712,0,0
152,Ryan Fredericks,DF,FW,27,14,6,569,1,1
153,Manuel Lanzini,MF,FW,27,17,5,566,1,1
154,Ben Johnson,DF,DF,20,14,5,523,1,0
155,Darren Randolph,GK,GK,33,3,3,270,0,0
156,Andriy Yarmolenko,FW,MF,30,15,1,375,0,1
157,Robert Snodgrass,FW,DF,32,3,0,5,0,0
158,Felipe Anderson,FW,MF,27,2,0,3,0,0
159,Pierre Højbjerg,MF,MF,24,38,38,3420,2,4
160,Hugo Lloris,GK,GK,33,38,38,3420,0,0
161,Son Heung-min,FW,FW,28,37,36,3114,17,10
162,Harry Kane,FW,FW,27,35,35,3082,23,14
163,Eric Dier,DF,DF,26,28,28,2520,0,0
164,Tanguy Ndombele,MF,MF,23,33,28,2091,3,2
165,Sergio Reguilón,DF,DF,23,27,26,2244,0,3
166,Toby Alderweireld,DF,DF,31,25,25,2240,1,0
167,Serge Aurier,DF,DF,27,19,19,1605,2,3
168,Davinson Sánchez,DF,DF,24,18,17,1486,0,0
169,Moussa Sissoko,MF,MF,30,25,15,1585,0,0
170,Lucas Moura,FW,MF,27,30,14,1411,3,4
171,Ben Davies,DF,DF,27,20,14,1346,0,1
172,Matt Doherty,DF,DF,28,17,13,1240,0,2
173,Steven Bergwijn,FW,MF,22,21,13,1208,1,3
174,Giovani Lo Celso,MF,MF,24,18,11,945,1,1
175,Gareth Bale,FW,FW,31,20,10,920,11,2
176,Harry Winks,MF,MF,24,15,9,861,0,0
177,Joe Rodon,DF,DF,22,12,8,733,0,0
178,Dele Alli,MF,MF,24,15,7,620,0,1
179,Japhet Tanganga,DF,DF,21,6,6,487,0,0
180,Érik Lamela,FW,MF,28,23,5,717,1,0
181,Carlos Vinícius,FW,FW,25,9,3,308,1,0
182,Dane Scarlett,FW,FW,16,1,0,1,0,0
183,Bernd Leno,GK,GK,28,35,35,3131,0,0
184,Bukayo Saka,FW,DF,18,32,30,2553,5,3
185,Granit Xhaka,MF,DF,27,31,29,2522,1,2
186,Rob Holding,DF,DF,24,30,28,2558,0,1
187,Pierre-Emerick Aubameyang,FW,FW,31,29,26,2332,10,3
188,Kieran Tierney,DF,DF,23,27,26,2299,1,3
189,Héctor Bellerín,DF,DF,25,25,24,2089,1,2
190,Gabriel Dos Santos,DF,DF,22,23,22,1996,2,0
191,Alexandre Lacazette,FW,FW,29,31,22,1923,13,2
192,Thomas Partey,MF,MF,27,24,18,1534,0,2
193,Emile Smith-Rowe,MF,FW,20,20,18,1440,2,4
194,Dani Ceballos,MF,MF,23,25,17,1615,0,3
195,Mohamed Elneny,MF,MF,28,23,17,1544,1,0
196,David Luiz,DF,DF,33,20,17,1396,1,0
197,Nicolas Pépé,FW,FW,25,29,16,1616,10,1
198,Willian,FW,MF,31,25,16,1406,1,5
199,Pablo Marí,DF,DF,26,10,10,900,0,0
200,Martin Ødegaard,MF,MF,21,14,9,866,1,2
201,Calum Chambers,DF,DF,25,10,8,753,0,2
202,Cédric Soares,DF,DF,28,10,8,746,0,1
203,Martinelli,FW,FW,19,14,7,589,2,1
204,Ainsley Maitland-Niles,DF,DF,22,11,5,490,0,0
205,Eddie Nketiah,FW,FW,21,17,4,423,2,1
206,Mathew Ryan,GK,GK,28,3,3,270,0,0
207,Joe Willock,MF,MF,20,7,2,238,0,0
208,Sead Kolašinac,DF,DF,27,1,1,90,0,0
209,Reiss Nelson,FW,FW,20,2,0,71,0,0
210,Shkodran Mustafi,DF,DF,28,3,0,47,0,0
211,Rúnar Alex Rúnarsson,GK,GK,25,1,0,16,0,0
212,Stuart Dallas,DF,MF,29,38,38,3409,8,2
213,Luke Ayling,DF,DF,28,38,38,3399,0,0
214,Patrick Bamford,FW,FW,26,38,37,3050,17,7
215,Illan Meslier,GK,GK,20,35,35,3150,0,0
216,Jack Harrison,MF,MF,23,36,34,2847,8,8
217,Ezgjan Alioski,DF,DF,28,36,29,2461,2,3
218,Kalvin Phillips,MF,MF,24,29,28,2428,1,2
219,Mateusz Klich,MF,MF,30,35,28,2393,4,5
220,Raphael Dias Belloli,MF,MF,23,30,26,2360,6,9
221,Liam Cooper,DF,DF,28,25,25,2185,1,0
222,Pascal Struijk,DF,MF,20,27,22,2075,1,0
223,Tyler Roberts,MF,FW,21,27,14,1340,1,2
224,Rodrigo,MF,FW,29,26,14,1288,7,2
225,Diego Llorente,DF,DF,26,15,14,1204,1,0
226,Hélder Costa,MF,FW,26,22,13,1156,3,3
227,Robin Koch,DF,MF,24,17,13,1132,0,0
228,Jamie Shackleton,MF,DF,20,13,3,461,0,0
229,Pablo Hernández,MF,MF,35,16,3,427,0,2
230,Kiko Casilla,GK,GK,33,3,3,270,0,0
231,Gaetano Berardi,DF,DF,31,2,1,113,0,0
232,Ian Carlo Poveda,MF,DF,20,14,0,355,0,0
233,Niall Huggins,DF,DF,19,1,0,38,0,0
234,Leif Davis,DF,DF,20,2,0,33,0,0
235,Michael Keane,DF,DF,27,35,33,2991,3,1
236,Richarlison,FW,FW,23,34,33,2861,7,3
237,Dominic Calvert-Lewin,FW,FW,23,33,32,2871,16,0
238,Jordan Pickford,GK,GK,26,31,31,2742,0,0
239,Lucas Digne,DF,DF,27,30,30,2681,0,7
240,Ben Godfrey,DF,DF,22,31,29,2685,0,2
241,Abdoulaye Doucouré,MF,MF,27,29,29,2443,2,3
242,Mason Holgate,DF,DF,23,28,26,2287,1,0
243,Gylfi Sigurðsson,MF,MF,30,36,24,2253,6,5
244,Allan,MF,MF,29,24,23,2051,0,0
245,Yerry Mina,DF,DF,25,24,23,1937,2,0
246,James Rodríguez,FW,MF,29,23,21,1764,6,4
247,Séamus Coleman,DF,MF,31,25,18,1613,0,3
248,André Gomes,MF,MF,27,28,17,1570,0,1
249,Alex Iwobi,FW,DF,24,30,17,1542,1,2
250,Tom Davies,MF,MF,22,25,17,1423,0,1
251,Robin Olsen,GK,GK,30,7,7,630,0,0
252,Bernard,MF,FW,27,12,3,455,1,0
253,Fabian Delph,MF,DF,30,8,2,266,0,0
254,Anthony Gordon,FW,MF,19,3,1,88,0,0
255,Niels Nkounkou,DF,FW,19,2,1,81,0,0
256,Jonjoe Kenny,DF,DF,23,4,1,79,0,0
257,Joshua King,MF,FW,28,11,0,148,0,0
258,Cenk Tosun,FW,FW,29,5,0,48,0,0
259,João Virgínia,GK,GK,20,1,0,48,0,0
260,Moise Kean,FW,FW,20,2,0,15,0,0
261,Theo Walcott,FW,FW,31,1,0,13,0,0
262,Jean-Philippe Gbamin,MF,MF,24,1,0,12,0,0
263,Nathan Broadhead,MF,MF,22,1,0,3,0,0
264,Emiliano Martínez,GK,GK,27,38,38,3420,0,0
265,Matt Targett,DF,DF,24,38,38,3404,0,2
