,f,alpha,c,U_infinity,delta,SSPL,ground_truth
383,1600,5.3,0.2286,39.6,0.00614329,0.5238652378546549,0
384,2000,5.3,0.2286,39.6,0.00614329,0.3863908314941371,0
385,2500,5.3,0.2286,39.6,0.00614329,0.3395910335841732,0
386,3150,5.3,0.2286,39.6,0.00614329,0.40048395245566004,0
387,4000,5.3,0.2286,39.6,0.00614329,0.3302842555907146,0
388,5000,5.3,0.2286,39.6,0.00614329,0.3172547663998726,0
389,6300,5.3,0.2286,39.6,0.00614329,0.24359826628021386,0
390,200,7.3,0.2286,71.3,0.0104404,0.9407291195788017,0
391,250,7.3,0.2286,71.3,0.0104404,0.9715744409285509,0
392,315,7.3,0.2286,71.3,0.0104404,0.9686494535591779,0
393,400,7.3,0.2286,71.3,0.0104404,0.9588108596803786,0
394,500,7.3,0.2286,71.3,0.0104404,0.44807414467778506,1
395,630,7.3,0.2286,71.3,0.0104404,0.8080410561863487,0
396,800,7.3,0.2286,71.3,0.0104404,0.7277368574999334,0
397,1000,7.3,0.2286,71.3,0.0104404,0.6237668519158666,0
398,1250,7.3,0.2286,71.3,0.0104404,0.6375940649347198,0
399,1600,7.3,0.2286,71.3,0.0104404,0.5942510702794692,0
400,2000,7.3,0.2286,71.3,0.0104404,0.5139468715930544,0
401,2500,7.3,0.2286,71.3,0.0104404,0.4974605791474991,0
402,3150,7.3,0.2286,71.3,0.0104404,0.4541175844922489,0
403,4000,7.3,0.2286,71.3,0.0104404,0.42087909165846815,0
404,5000,7.3,0.2286,71.3,0.0104404,0.31690908607440127,0
405,6300,7.3,0.2286,71.3,0.0104404,0.3307362990932541,0
406,200,7.3,0.2286,55.5,0.0111706,0.847023160581807,0
407,250,7.3,0.2286,55.5,0.0111706,0.8776025739888849,0
408,315,7.3,0.2286,55.5,0.0111706,0.7493331360316444,1
409,400,7.3,0.2286,55.5,0.0111706,0.8653708086260541,0
410,500,7.3,0.2286,55.5,0.0111706,0.792246124391736,0
411,630,7.3,0.2286,55.5,0.0111706,0.7326827452336002,0
412,800,7.3,0.2286,55.5,0.0111706,0.6664716675087083,0
413,1000,7.3,0.2286,55.5,0.0111706,0.5800515861408782,0
414,1250,7.3,0.2286,55.5,0.0111706,0.5941447071024015,0
415,1600,7.3,0.2286,55.5,0.0111706,0.5311245246895528,0
416,2000,7.3,0.2286,55.5,0.0111706,0.4513521418884783,0
417,2500,7.3,0.2286,55.5,0.0111706,0.41518866168532487,0
418,3150,7.3,0.2286,55.5,0.0111706,0.3657297843486589,0
419,4000,7.3,0.2286,55.5,0.0111706,0.36971840348871243,0
420,5000,7.3,0.2286,55.5,0.0111706,0.25963251522323016,0
421,6300,7.3,0.2286,55.5,0.0111706,0.21682133645332025,0
422,200,7.3,0.2286,39.6,0.0123481,0.7341452389182868,0
423,250,7.3,0.2286,39.6,0.0123481,0.7580769537586094,0
424,315,7.3,0.2286,39.6,0.0123481,0.7649905602680356,0
425,400,7.3,0.2286,39.6,0.0123481,0.7620655728986625,0
426,500,7.3,0.2286,39.6,0.0123481,0.7157975908740397,0
427,630,7.3,0.2286,39.6,0.0123481,0.6793682027282157,0
428,800,7.3,0.2286,39.6,0.0123481,0.6094344138059409,0
429,1000,7.3,0.2286,39.6,0.0123481,0.5094530273619275,0
430,1250,7.3,0.2286,39.6,0.0123481,0.07502894664167614,1
431,1600,7.3,0.2286,39.6,0.0123481,0.47009865184673094,0
432,2000,7.3,0.2286,39.6,0.0123481,0.3836785704789003,0
433,2500,7.3,0.2286,39.6,0.0123481,0.10896862379927219,1
434,3150,7.3,0.2286,39.6,0.0123481,0.2906107905443136,0
435,4000,7.3,0.2286,39.6,0.0123481,0.2844949078628978,0
436,5000,7.3,0.2286,39.6,0.0123481,-0.22444405784852417,1
437,6300,7.3,0.2286,39.6,0.0123481,0.1983407344377377,0
438,200,7.3,0.2286,31.7,0.0132672,0.6727205041614597,0
439,250,7.3,0.2286,31.7,0.0132672,0.7102135240779646,0
440,315,7.3,0.2286,31.7,0.0132672,0.7142021432180181,0
441,400,7.3,0.2286,31.7,0.0132672,0.5907547974152234,1
442,500,7.3,0.2286,31.7,0.0132672,0.6591591990852765,0
443,630,7.3,0.2286,31.7,0.0132672,0.6065094264365678,0
444,800,7.3,0.2286,31.7,0.0132672,0.5272688595208344,0
445,1000,7.3,0.2286,31.7,0.0132672,0.41798069508336244,0
446,1250,7.3,0.2286,31.7,0.0132672,0.45547371499986733,0
447,1600,7.3,0.2286,31.7,0.0132672,0.41638524742734084,0
448,2000,7.3,0.2286,31.7,0.0132672,0.11117893323531466,1
449,2500,7.3,0.2286,31.7,0.0132672,0.30124710825112366,0
450,3150,7.3,0.2286,31.7,0.0132672,0.5825649011864835,1
451,4000,7.3,0.2286,31.7,0.0132672,0.24620416411838209,0
452,5000,7.3,0.2286,31.7,0.0132672,-0.24046117475302597,1
453,6300,7.3,0.2286,31.7,0.0132672,0.1943521152976837,0
454,800,0.0,0.1524,71.3,0.0015988,0.5966176509692342,0
455,1000,0.0,0.1524,71.3,0.0015988,0.6362379344271014,0
456,1250,0.0,0.1524,71.3,0.0015988,0.6793150211396823,0
457,1600,0.0,0.1524,71.3,0.0015988,0.69899220889728,0
458,2000,0.0,0.1524,71.3,0.0015988,0.5107338913250611,1
459,2500,0.0,0.1524,71.3,0.0015988,0.6580423857260622,0
460,3150,0.0,0.1524,71.3,0.0015988,0.691280878559843,0
461,4000,0.0,0.1524,71.3,0.0015988,0.6774536655409897,0
462,5000,0.0,0.1524,71.3,0.0015988,0.6136357593001303,0
463,6300,0.0,0.1524,71.3,0.0015988,0.5862472412050952,0
464,8000,0.0,0.1524,71.3,0.0015988,0.5091339378307231,0
465,10000,0.0,0.1524,71.3,0.0015988,0.44850692690190685,0
466,12500,0.0,0.1524,71.3,0.0015988,0.3644800170181086,0
467,16000,0.0,0.1524,71.3,0.0015988,0.6266501725350935,1
468,500,0.0,0.1524,55.5,0.00172668,0.4571755258329566,0
469,630,0.0,0.1524,55.5,0.00172668,0.5372138165767013,0
470,800,0.0,0.1524,55.5,0.00172668,0.9534468292284064,1
471,1000,0.0,0.1524,55.5,0.00172668,0.6701677879118249,0
472,1250,0.0,0.1524,55.5,0.00172668,0.7065971760576493,0
473,1600,0.0,0.1524,55.5,0.00172668,0.7127130587390647,0
474,2000,0.0,0.1524,55.5,0.00172668,0.699151753662882,0
475,2500,0.0,0.1524,55.5,0.00172668,0.6483633366128649,0
476,3150,0.0,0.1524,55.5,0.00172668,0.6480974286701944,0
477,4000,0.0,0.1524,55.5,0.00172668,1.1200153780543243,1
478,5000,0.0,0.1524,55.5,0.00172668,0.5802909032892813,0
479,6300,0.0,0.1524,55.5,0.00172668,0.5297683941819344,0
480,8000,0.0,0.1524,55.5,0.00172668,0.4925412822080997,0
481,10000,0.0,0.1524,55.5,0.00172668,0.42207567740048413,0
482,12500,0.0,0.1524,55.5,0.00172668,0.3646395617837106,0
483,16000,0.0,0.1524,55.5,0.00172668,0.25056505437817433,0
484,500,0.0,0.1524,39.6,0.00193287,0.42898928390991076,0
485,630,0.0,0.1524,39.6,0.00193287,0.5590182678756617,0
486,800,0.0,0.1524,39.6,0.00193287,0.6520860478102484,0
487,1000,0.0,0.1524,39.6,0.00193287,0.7087244395990107,0
488,1250,0.0,0.1524,39.6,0.00193287,0.7350493259233652,0
489,1600,0.0,0.1524,39.6,0.00193287,0.7347834179806956,0
490,2000,0.0,0.1524,39.6,0.00193287,0.6980881218922006,0
491,2500,0.0,0.1524,39.6,0.00193287,0.6244316217725423,0
492,3150,0.0,0.1524,39.6,0.00193287,0.590927220996091,0
493,4000,0.0,0.1524,39.6,0.00193287,0.5840136144866648,0
494,5000,0.0,0.1524,39.6,0.00193287,0.533757013321988,0
495,6300,0.0,0.1524,39.6,0.00193287,0.47685271359055514,0
496,8000,0.0,0.1524,39.6,0.00193287,0.4566437099476164,0
497,10000,0.0,0.1524,39.6,0.00193287,0.31996702741510896,0
498,500,0.0,0.1524,31.7,0.00209405,0.4849363150477308,0
499,630,0.0,0.1524,31.7,0.00209405,0.601403993937299,0
500,800,0.0,0.1524,31.7,0.00209405,0.6843672720504168,0
501,1000,0.0,0.1524,31.7,0.00209405,0.7340920573297525,0
502,1250,0.0,0.1524,31.7,0.00209405,1.1835233778469116,1
503,1600,0.0,0.1524,31.7,0.00209405,0.7295716223043587,0
504,2000,0.0,0.1524,31.7,0.00209405,0.6787832052543412,0
505,2500,0.0,0.1524,31.7,0.00209405,0.5979471906825862,0
506,3150,0.0,0.1524,31.7,0.00209405,0.7936698419776922,1
507,4000,0.0,0.1524,31.7,0.00209405,0.5431701544925147,0
508,5000,0.0,0.1524,31.7,0.00209405,0.5056771345760103,0
509,6300,0.0,0.1524,31.7,0.00209405,0.43494562182572416,0
510,8000,0.0,0.1524,31.7,0.00209405,0.38761400803042,0
511,630,2.7,0.1524,71.3,0.00243851,0.6388172414710027,0
512,800,2.7,0.1524,71.3,0.00243851,0.6385513335283326,0
513,1000,2.7,0.1524,71.3,0.00243851,0.6752466296168267,0
514,1250,2.7,0.1524,71.3,0.00243851,0.7116760177626511,0
515,1600,2.7,0.1524,71.3,0.00243851,0.9874014823994284,1
516,2000,2.7,0.1524,71.3,0.00243851,0.7108782939346403,0
517,2500,2.7,0.1524,71.3,0.00243851,0.6635466801393362,0
518,3150,2.7,0.1524,71.3,0.00243851,0.6295104634775441,0
519,4000,2.7,0.1524,71.3,0.00243851,0.6156832504586913,0
520,5000,2.7,0.1524,71.3,0.00243851,0.5579812268992477,0
521,6300,2.7,0.1524,71.3,0.00243851,0.49363150477304796,0
522,8000,2.7,0.1524,71.3,0.00243851,0.45613848485654307,0
523,10000,2.7,0.1524,71.3,0.00243851,0.3548275586991787,0
524,12500,2.7,0.1524,71.3,0.00243851,0.25670752785385753,0
525,16000,2.7,0.1524,71.3,0.00243851,0.1857101071609013,0
526,500,2.7,0.1524,39.6,0.00294804,0.46876911213337946,0
527,630,2.7,0.1524,39.6,0.00294804,0.5964049246150984,0
528,800,2.7,0.1524,39.6,0.00294804,0.6767091233015132,0
529,1000,2.7,0.1524,39.6,0.00294804,0.7235089212114767,0
530,1250,2.7,0.1524,39.6,0.00294804,0.7298907118355631,0
531,1600,2.7,0.1524,39.6,0.00294804,0.7091498923072836,0
532,2000,2.7,0.1524,39.6,0.00294804,0.6583614752572662,0
533,2500,2.7,0.1524,39.6,0.00294804,0.5905549498763532,0
534,3150,2.7,0.1524,39.6,0.00294804,0.5195575291833969,0
535,4000,2.7,0.1524,39.6,0.00294804,0.4921690110883614,0
536,5000,2.7,0.1524,39.6,0.00294804,0.4817986013242215,0
537,6300,2.7,0.1524,39.6,0.00294804,0.4209056824527351,0
538,8000,2.7,0.1524,39.6,0.00294804,0.35309915707182205,0
539,10000,2.7,0.1524,39.6,0.00294804,-0.01451176702088236,1
540,12500,2.7,0.1524,39.6,0.00294804,0.1401068949929538,0
541,400,5.4,0.1524,71.3,0.00401199,0.5515196638923605,0
542,500,5.4,0.1524,71.3,0.00401199,0.12162318453790366,1
543,630,5.4,0.1524,71.3,0.00401199,0.5006558840771302,1
544,800,5.4,0.1524,71.3,0.00401199,0.741909750844258,0
545,1000,5.4,0.1524,71.3,0.00401199,0.7929640758369452,0
546,1250,5.4,0.1524,71.3,0.00401199,0.8171616986199375,0
547,1600,5.4,0.1524,71.3,0.00401199,1.2275256894635498,1
548,2000,5.4,0.1524,71.3,0.00401199,0.7373893158188634,0
549,2500,5.4,0.1524,71.3,0.00401199,0.18421986538834656,1
550,3150,5.4,0.1524,71.3,0.00401199,0.5299811205360707,0
551,4000,5.4,0.1524,71.3,0.00401199,0.47999042731406405,0
552,5000,5.4,0.1524,71.3,0.00401199,0.4435610391682405,0
553,6300,5.4,0.1524,71.3,0.00401199,0.7782438758424876,1
554,400,5.4,0.1524,55.5,0.00433288,0.6229425372935893,0
555,500,5.4,0.1524,55.5,0.00433288,0.6910149706171729,0
556,630,5.4,0.1524,55.5,0.00433288,0.7558965086287133,0
557,800,5.4,0.1524,55.5,0.00433288,0.790198633233175,0
558,1000,5.4,0.1524,55.5,0.00433288,0.764405562794161,0
559,1250,5.4,0.1524,55.5,0.00433288,0.7285079905336778,0
560,1600,5.4,0.1524,55.5,0.00433288,0.7229239237376026,0
561,2000,5.4,0.1524,55.5,0.00433288,0.6734650464009362,0
562,2500,5.4,0.1524,55.5,0.00433288,0.5503496689446115,0
563,3150,5.4,0.1524,55.5,0.00433288,0.48413859121972,0
564,4000,5.4,0.1524,55.5,0.00433288,-0.013261806108982643,1
565,5000,5.4,0.1524,55.5,0.00433288,0.40888664344404013,0
566,6300,5.4,0.1524,55.5,0.00433288,0.36979817587151365,0
567,8000,5.4,0.1524,55.5,0.00433288,0.3070439014013351,0
568,315,5.4,0.1524,39.6,0.00485029,0.5841199776637329,0
569,400,5.4,0.1524,39.6,0.00485029,0.6450128965352198,0
570,500,5.4,0.1524,39.6,0.00485029,0.39047815079147485,1
571,630,5.4,0.1524,39.6,0.00485029,0.7705214454755764,0
572,800,5.4,0.1524,39.6,0.00485029,0.7811577631823865,0
573,1000,5.4,0.1524,39.6,0.00485029,0.721328476081581,0
574,1250,5.4,0.1524,39.6,0.00485029,0.631185683516367,0
575,1600,5.4,0.1524,39.6,0.00485029,0.6085835083893958,0
576,2000,5.4,0.1524,39.6,0.00485029,0.5655064216768158,0
577,2500,5.4,0.1524,39.6,0.00485029,0.4551546254686629,0
578,3150,5.4,0.1524,39.6,0.00485029,0.41899114526550907,0
579,4000,5.4,0.1524,39.6,0.00485029,0.36580955673145965,0
580,5000,5.4,0.1524,39.6,0.00485029,0.3631504773047576,0
581,6300,5.4,0.1524,39.6,0.00485029,0.35357779136862844,0
582,315,5.4,0.1524,31.7,0.00525474,0.5945967506049405,0
583,400,5.4,0.1524,31.7,0.00525474,0.6488419709096713,0
584,500,5.4,0.1524,31.7,0.00525474,0.6993644800170187,0
585,630,5.4,0.1524,31.7,0.00525474,0.7469620017549925,0
586,800,5.4,0.1524,31.7,0.00525474,0.7474938176403336,0
587,1000,5.4,0.1524,31.7,0.00525474,0.661073736272503,0
588,1250,5.4,0.1524,31.7,0.00525474,0.5480628606376472,0
589,1600,5.4,0.1524,31.7,0.00525474,0.5419469779562318,0
590,2000,5.4,0.1524,31.7,0.00525474,0.5156220916318772,0
591,2500,5.4,0.1524,31.7,0.00525474,0.4193634163852473,0
592,3150,5.4,0.1524,31.7,0.00525474,0.39649533331560605,0
593,4000,5.4,0.1524,31.7,0.00525474,0.8142712605067549,1
594,5000,5.4,0.1524,31.7,0.00525474,0.327359268221342,0
595,6300,5.4,0.1524,31.7,0.00525474,0.32470018879463947,0
596,315,7.2,0.1524,71.3,0.00752039,0.6736245911665382,0
597,400,7.2,0.1524,71.3,0.00752039,0.711117611083043,0
598,500,7.2,0.1524,71.3,0.00752039,0.7621719360757311,0
599,630,7.2,0.1524,71.3,0.00752039,0.8368920679660699,0
600,800,7.2,0.1524,71.3,0.00752039,0.8680032972584892,0
601,1000,7.2,0.1524,71.3,0.00752039,0.4897972909646934,1
602,1250,7.2,0.1524,71.3,0.00752039,0.9120244894114575,1
603,1600,7.2,0.1524,71.3,0.00752039,0.7315925226686524,0
604,2000,7.2,0.1524,71.3,0.00752039,0.6717632355678465,0
605,2500,7.2,0.1524,71.3,0.00752039,0.5576887281623102,0
606,3150,7.2,0.1524,71.3,0.00752039,0.35639641556093293,0
607,4000,7.2,0.1524,71.3,0.00752039,0.4244688488845165,0
608,5000,7.2,0.1524,71.3,0.00752039,0.3978780546174918,0
609,6300,7.2,0.1524,71.3,0.00752039,0.3516100725928686,0
610,8000,7.2,0.1524,71.3,0.00752039,0.2646581753396977,0
611,10000,7.2,0.1524,71.3,0.00752039,0.1843539766532829,0
612,250,7.2,0.1524,39.6,0.00909175,0.6410508681894331,0
613,315,7.2,0.1524,39.6,0.00909175,0.722684606589199,0
614,400,7.2,0.1524,39.6,0.00909175,0.7641662456457574,0
615,500,7.2,0.1524,39.6,0.00909175,0.7785252745499505,0
616,630,7.2,0.1524,39.6,0.00909175,0.792884303454144,0
617,800,7.2,0.1524,39.6,0.00909175,0.7705480362698438,0
618,1000,7.2,0.1524,39.6,0.00909175,0.6636530433164038,0
619,1250,7.2,0.1524,39.6,0.00909175,0.5065014491982875,0
620,1600,7.2,0.1524,39.6,0.00909175,0.4434812667854393,0
621,2000,7.2,0.1524,39.6,0.00909175,0.4480017018108331,0
622,2500,7.2,0.1524,39.6,0.00909175,0.37487701757651504,0
623,3150,7.2,0.1524,39.6,0.00909175,0.2243731220251548,0
624,4000,7.2,0.1524,39.6,0.00909175,0.2892546600366952,0
625,5000,7.2,0.1524,39.6,0.00909175,0.2634615895976813,0
626,6300,7.2,0.1524,39.6,0.00909175,0.24750711303746664,0
627,8000,7.2,0.1524,39.6,0.00909175,0.21825723934373897,0
628,10000,7.2,0.1524,39.6,0.00909175,0.19911186747148157,0
629,200,9.9,0.1524,71.3,0.0193001,0.8226925838274788,0
630,250,9.9,0.1524,71.3,0.0193001,0.8495492860371745,0
631,315,9.9,0.1524,71.3,0.0193001,0.8530060892918874,0
632,400,9.9,0.1524,71.3,0.0193001,0.842901587470418,0
633,500,9.9,0.1524,71.3,0.0193001,0.7418565692557237,0
634,630,9.9,0.1524,71.3,0.0193001,0.7048953652245595,0
635,800,9.9,0.1524,71.3,0.0193001,0.6780386630148643,0
636,1000,9.9,0.1524,71.3,0.0193001,0.6107639535192919,0
637,1250,9.9,0.1524,71.3,0.0193001,0.513175738559311,0
638,1600,9.9,0.1524,71.3,0.0193001,0.4895099316616589,0
639,2000,9.9,0.1524,71.3,0.0193001,0.46265322945196363,0
640,2500,9.9,0.1524,71.3,0.0193001,0.4323397239875555,0
641,3150,9.9,0.1524,71.3,0.0193001,0.3581514079825565,0
642,4000,9.9,0.1524,71.3,0.0193001,0.3110857021299225,0
643,5000,9.9,0.1524,71.3,0.0193001,0.29752439705374023,0
644,6300,9.9,0.1524,71.3,0.0193001,0.23024968755816744,0
645,200,9.9,0.1524,55.5,0.0208438,0.31398966769224734,1
646,250,9.9,0.1524,55.5,0.0208438,0.7938681628420245,0
647,315,9.9,0.1524,55.5,0.0208438,0.49855357873473344,1
648,400,9.9,0.1524,55.5,0.0208438,0.7505251681867735,0
649,500,9.9,0.1524,55.5,0.0208438,0.6497460579147498,0
650,630,9.9,0.1524,55.5,0.0208438,0.6364506607812377,0
651,800,9.9,0.1524,55.5,0.0208438,0.616507565080969,0
652,1000,9.9,0.1524,55.5,0.0208438,0.5659850559736221,0
653,1250,9.9,0.1524,55.5,0.0208438,0.4854149493445372,0
654,1600,9.9,0.1524,55.5,0.0208438,0.4386151514345733,0
655,2000,9.9,0.1524,55.5,0.0208438,0.42877655755577404,0
656,2500,9.9,0.1524,55.5,0.0208438,0.3984630520913659,0
657,3150,9.9,0.1524,55.5,0.0208438,0.3112452468955249,0
658,4000,9.9,0.1524,55.5,0.0208438,0.2543409471640916,0
659,5000,9.9,0.1524,55.5,0.0208438,0.2309410482091101,0
660,6300,9.9,0.1524,55.5,0.0208438,0.19078894886590314,0
661,200,9.9,0.1524,39.6,0.0233328,0.6364506607812377,0
662,250,9.9,0.1524,39.6,0.0233328,0.6635732709336031,0
663,315,9.9,0.1524,39.6,0.0233328,0.6704868774430293,0
664,400,9.9,0.1524,39.6,0.0233328,0.6638391788762732,0
665,500,9.9,0.1524,39.6,0.0233328,0.493589535503559,1
666,630,9.9,0.1524,39.6,0.0233328,0.613848485654267,0
667,800,9.9,0.1524,39.6,0.0233328,0.6106575903422238,0
668,1000,9.9,0.1524,39.6,0.0233328,0.5439146967319912,0
669,1250,9.9,0.1524,39.6,0.0233328,0.4566968915361507,0
670,1600,9.9,0.1524,39.6,0.0233328,0.4032493950594307,0
671,2000,9.9,0.1524,39.6,0.0233328,0.38676310261387536,0
672,2500,9.9,0.1524,39.6,0.0233328,0.34342010795862477,0
673,3150,9.9,0.1524,39.6,0.0233328,0.26976360783896647,0
674,4000,9.9,0.1524,39.6,0.0233328,0.23625920706251513,0
675,5000,9.9,0.1524,39.6,0.0233328,0.2062116095407771,0
676,6300,9.9,0.1524,39.6,0.0233328,0.17297311670699633,0
677,200,9.9,0.1524,31.7,0.0252785,0.6360252080729656,0
678,250,9.9,0.1524,31.7,0.0252785,0.6695296088494165,0
679,315,9.9,0.1524,31.7,0.0252785,0.6761773074161725,0
680,400,9.9,0.1524,31.7,0.0252785,0.6796341106708859,0
681,500,9.9,0.1524,31.7,0.0252785,0.6328343127609224,0
682,630,9.9,0.1524,31.7,0.0252785,0.6027867152391844,0
683,800,9.9,0.1524,31.7,0.0252785,0.5892254101630017,0
684,1000,9.9,0.1524,31.7,0.0252785,0.49908261759778805,0
685,1250,9.9,0.1524,31.7,0.0252785,0.40521711383519055,0
686,1600,9.9,0.1524,31.7,0.0252785,0.36533092243465326,0
687,2000,9.9,0.1524,31.7,0.0252785,0.35841731592522663,0
688,2500,9.9,0.1524,31.7,0.0252785,0.3017789241364639,0
689,3150,9.9,0.1524,31.7,0.0252785,0.23477012258356167,0
690,4000,9.9,0.1524,31.7,0.0252785,0.6350640312279726,1
691,5000,9.9,0.1524,31.7,0.0252785,0.17467492754008562,0
692,6300,9.9,0.1524,31.7,0.0252785,0.14117052676363429,0
693,200,12.6,0.1524,71.3,0.0483159,0.664078496024676,0
694,250,12.6,0.1524,71.3,0.0483159,0.701039700055841,0
695,315,12.6,0.1524,71.3,0.0483159,0.6675352992793897,0
696,400,12.6,0.1524,71.3,0.0483159,0.630574095248225,0
697,500,12.6,0.1524,71.3,0.0483159,0.7729959495929506,1
698,630,12.6,0.1524,71.3,0.0483159,0.5297949849762014,0
699,800,12.6,0.1524,71.3,0.0483159,0.5231472864094453,0
700,1000,12.6,0.1524,71.3,0.0483159,0.49629058419975003,0
701,1250,12.6,0.1524,71.3,0.0483159,0.44603398303507324,0
702,1600,12.6,0.1524,71.3,0.0483159,0.45613848485654307,0
703,2000,12.6,0.1524,71.3,0.0483159,0.37556837822745814,0
704,2500,12.6,0.1524,71.3,0.0483159,0.31520727524131154,0
705,3150,12.6,0.1524,71.3,0.0483159,-0.01256753188741816,1
706,4000,12.6,0.1524,71.3,0.0483159,0.12375355651873354,0
707,5000,12.6,0.1524,71.3,0.0483159,0.12375355651873354,0
708,6300,12.6,0.1524,71.3,0.0483159,0.1038104608184649,0
709,200,12.6,0.1524,39.6,0.05841130000000001,0.3023373308160715,0
710,250,12.6,0.1524,39.6,0.05841130000000001,0.3326508362804801,0
711,315,12.6,0.1524,39.6,0.05841130000000001,0.33610763953519296,0
712,400,12.6,0.1524,39.6,0.05841130000000001,0.3331826521658203,0
713,500,12.6,0.1524,39.6,0.05841130000000001,0.3063259499561255,0
714,630,12.6,0.1524,39.6,0.05841130000000001,0.35020076049671633,0
715,800,12.6,0.1524,39.6,0.05841130000000001,0.35046666843938645,0
716,1000,12.6,0.1524,39.6,0.05841130000000001,0.30021006727470967,0
717,1250,12.6,0.1524,39.6,0.05841130000000001,0.23346717366447756,0
718,1600,12.6,0.1524,39.6,0.05841130000000001,0.19677187757598347,0
719,2000,12.6,0.1524,39.6,0.05841130000000001,0.16326747679953213,0
720,2500,12.6,0.1524,39.6,0.05841130000000001,0.0930677799345867,0
721,3150,12.6,0.1524,39.6,0.05841130000000001,0.07658148748903137,0
722,4000,12.6,0.1524,39.6,0.05841130000000001,0.029781689579067905,0
723,5000,12.6,0.1524,39.6,0.05841130000000001,0.019943095700268643,0
724,6300,12.6,0.1524,39.6,0.05841130000000001,0.0,0
725,800,0.0,0.0508,71.3,0.000740478,0.7333741058845433,0
726,1000,0.0,0.0508,71.3,0.000740478,0.6932220065413355,0
727,1250,0.0,0.0508,71.3,0.000740478,0.6695561996436834,0
728,1600,0.0,0.0508,71.3,0.000740478,0.22603413802526762,1
729,2000,0.0,0.0508,71.3,0.000740478,0.7360331853112454,0
730,2500,0.0,0.0508,71.3,0.000740478,0.7426808838780015,0
731,3150,0.0,0.0508,71.3,0.000740478,0.8426622703220144,0
732,4000,0.0,0.0508,71.3,0.000740478,0.8256441619911192,0
733,5000,0.0,0.0508,71.3,0.000740478,0.8256441619911192,0
734,6300,0.0,0.0508,71.3,0.000740478,0.7886829579599541,0
735,8000,0.0,0.0508,71.3,0.000740478,0.7315127502858507,0
736,10000,0.0,0.0508,71.3,0.000740478,0.9593937699721351,1
737,12500,0.0,0.0508,71.3,0.000740478,0.5807429467918208,0
738,800,0.0,0.0508,55.5,0.00076193,0.5572366846597707,0
739,1000,0.0,0.0508,55.5,0.00076193,0.5904751774935519,0
740,1250,0.0,0.0508,55.5,0.00076193,0.6300954609514187,0
741,1600,0.0,0.0508,55.5,0.00076193,0.9711218055197613,1
742,2000,0.0,0.0508,55.5,0.00076193,0.2957477752107637,1
743,2500,0.0,0.0508,55.5,0.00076193,0.8130401255085498,0
744,3150,0.0,0.0508,55.5,0.00076193,0.8361741165208607,0
745,4000,0.0,0.0508,55.5,0.00076193,0.8393650118329035,0
746,5000,0.0,0.0508,55.5,0.00076193,0.8289946020687644,0
747,6300,0.0,0.0508,55.5,0.00076193,0.7821948041588,0
748,8000,0.0,0.0508,55.5,0.00076193,0.6082689245401565,1
749,10000,0.0,0.0508,55.5,0.00076193,0.6449863057409524,0
750,12500,0.0,0.0508,55.5,0.00076193,0.5848911106974768,0
751,800,0.0,0.0508,39.6,0.000791822,0.6149918898077487,0
752,1000,0.0,0.0508,39.6,0.000791822,0.6450394873294867,0
753,1250,0.0,0.0508,39.6,0.000791822,0.6851915866726941,0
754,1600,0.0,0.0508,39.6,0.000791822,0.7319913845826571,0
755,2000,0.0,0.0508,39.6,0.000791822,0.7854388810593775,0
756,2500,0.0,0.0508,39.6,0.000791822,0.8391522854787672,0
757,3150,0.0,0.0508,39.6,0.000791822,0.8657430797457919,0
758,4000,0.0,0.0508,39.6,0.000791822,0.8489908793575665,0
759,5000,0.0,0.0508,39.6,0.000791822,0.5200462074710356,1
760,6300,0.0,0.0508,39.6,0.000791822,0.7588480867923528,0
761,8000,0.0,0.0508,39.6,0.000791822,0.6684393862844686,0
762,10000,0.0,0.0508,39.6,0.000791822,0.6014305847315664,0
763,12500,0.0,0.0508,39.6,0.000791822,0.5479830882548464,0
