,Species,Weight,Length1,Length2,Length3,Height,Width,ground_truth
0,0,0.14666666666666667,23.2,25.4,30.0,11.52,4.02,0
1,0,0.17575757575757575,24.0,26.3,31.2,12.48,4.3056,0
2,0,0.20606060606060606,23.9,26.5,31.1,12.3778,4.6961,0
3,0,0.22,26.3,29.0,33.5,12.73,4.4555,0
4,0,0.2606060606060606,26.5,29.0,34.0,12.444,5.134,0
5,0,0.2727272727272727,26.8,29.7,34.7,13.6024,4.9274,0
6,0,0.30303030303030304,26.8,29.7,34.5,14.1795,5.2785,0
7,0,0.660135819034767,27.6,30.0,35.0,12.67,4.69,1
8,0,0.7044891384284707,27.6,30.0,35.1,14.0049,4.8438,1
9,0,0.4345503822616863,28.5,30.7,36.2,14.2266,4.9594,1
10,0,0.2878787878787879,28.4,31.0,36.2,14.2628,5.1042,0
11,0,0.30303030303030304,28.7,31.0,36.2,14.3714,4.8146,0
12,0,0.30303030303030304,29.1,31.5,36.4,13.7592,4.368,0
13,0,0.20606060606060606,29.5,32.0,37.3,13.9129,5.0728,0
14,0,0.36363636363636365,29.4,32.0,37.2,14.9544,5.1708,0
15,0,0.36363636363636365,29.4,32.0,37.2,15.438,5.58,0
16,0,0.42424242424242425,30.4,33.0,38.3,14.8604,5.2854,0
17,0,0.42424242424242425,30.4,33.0,38.5,14.938,5.1975,0
18,0,0.3696969696969697,30.9,33.5,38.6,15.633,5.1338,0
19,0,0.3939393939393939,31.0,33.5,38.7,14.4738,5.7276,0
20,0,0.3484848484848485,31.3,34.0,39.5,15.1285,5.5695,0
21,0,0.41515151515151516,31.4,34.0,39.2,15.9936,5.3704,0
22,0,0.37575757575757573,31.5,34.5,39.7,15.5227,5.2801,0
23,0,0.7536116246679685,31.8,35.0,40.6,15.4686,6.1306,1
24,0,0.755183282345129,31.9,35.0,40.5,16.2405,5.589,1
25,0,0.4393939393939394,31.8,35.0,40.9,16.36,6.0532,0
26,0,0.43636363636363634,32.0,35.0,40.6,16.3618,6.09,0
27,0,0.5736113833352122,32.7,36.0,41.5,16.517,5.8515,1
28,0,0.5151515151515151,32.8,36.0,41.6,16.8896,6.1984,0
29,0,0.7942368548768848,33.5,37.0,42.6,18.957,6.603,1
30,0,0.5575757575757576,35.0,38.5,44.1,18.0369,6.3063,0
31,0,0.5787878787878787,35.0,38.5,44.0,18.084,6.292000000000002,0
32,0,0.5606060606060606,36.2,39.5,45.3,18.7542,6.7497,0
33,0,0.5909090909090909,37.4,41.0,45.9,18.6354,6.7473,0
34,0,0.5757575757575758,38.0,41.0,46.5,17.6235,6.3705,0
35,4,0.024242424242424242,12.9,14.1,16.2,4.1472,2.268,0
36,4,-0.44106704706453065,16.5,18.2,20.3,5.2983,2.8217,1
37,4,0.04727272727272727,17.5,18.8,21.2,5.5756,2.9044,0
38,4,0.05272727272727273,18.2,19.8,22.2,5.6166,3.1746,0
39,4,0.07272727272727272,18.6,20.0,22.2,6.216,3.5742,0
40,4,0.0,19.0,20.5,22.8,6.4752,3.3516,0
41,4,0.06666666666666667,19.1,20.8,23.1,6.1677,3.3957,0
42,4,0.07272727272727272,19.4,21.0,23.7,6.1146,3.2943,0
43,4,0.09090909090909091,20.4,22.0,24.7,5.8045,3.7544,0
44,4,0.08787878787878788,20.5,22.0,24.3,6.6339,3.5478,0
45,4,0.09696969696969697,20.5,22.5,25.3,7.0334,3.8203,0
46,4,0.08484848484848485,21.0,22.5,25.0,6.55,3.325,0
47,4,0.09696969696969697,21.1,22.5,25.0,6.4,3.8,0
48,4,0.10242424242424242,22.0,24.0,27.2,7.5344,3.8352,0
49,4,0.09757575757575758,22.0,23.4,26.7,6.9153,3.6312,0
50,4,0.12121212121212122,22.1,23.5,26.8,7.3968,4.1272,0
51,4,0.274152547953343,23.6,25.2,27.9,7.0866,3.906,1
52,4,0.17575757575757575,24.0,26.0,29.2,8.8768,4.4968,0
53,4,0.16484848484848486,25.0,27.0,30.6,8.568,4.7736,0
54,4,0.23636363636363636,29.5,31.7,35.0,9.485,5.355,0
55,6,0.16363636363636364,23.6,26.0,28.7,8.3804,4.2476,0
56,6,0.045306610174098746,24.1,26.5,29.3,8.1454,4.2485,1
57,6,0.18545454545454546,25.6,28.0,30.8,8.777999999999999,4.6816,0
58,6,0.538421263941384,28.5,31.0,34.0,10.744000000000002,6.562,1
59,6,0.48484848484848486,33.7,36.4,39.6,11.7612,6.5736,0
60,6,0.19683326974512927,37.3,40.0,43.5,12.354,6.525,1
61,1,0.03333333333333333,13.5,14.7,16.5,6.8475,2.3265,0
62,1,0.03636363636363636,14.3,15.5,17.4,6.5772,2.3142,0
63,1,-0.3247103034498362,16.3,17.7,19.8,7.4052,2.673,1
64,1,0.07272727272727272,17.5,19.0,21.3,8.3922,2.9181,0
65,1,0.09090909090909091,18.4,20.0,22.4,8.8928,3.2928,0
66,1,0.08484848484848485,19.0,20.7,23.2,8.5376,3.2944,0
67,1,0.10303030303030303,19.0,20.7,23.2,9.396,3.4104,0
68,1,0.08787878787878788,19.8,21.5,24.1,9.7364,3.1571,0
69,1,0.12121212121212122,21.2,23.0,25.8,10.3458,3.6636,0
70,1,0.16545454545454547,23.0,25.0,28.0,11.088,4.144,0
71,1,-0.2217047650337251,24.0,26.0,29.0,11.368,4.234,1
72,2,0.003575757575757576,7.5,8.4,8.8,2.112,1.408,0
73,2,0.019393939393939394,12.5,13.7,14.7,3.528,1.9992,0
74,2,0.024242424242424242,13.8,15.0,16.0,3.824,2.432,0
75,2,0.031212121212121212,15.0,16.2,17.2,4.5924,2.6316,0
76,2,0.04242424242424243,15.7,17.4,18.5,4.588,2.9415,0
77,2,0.06060606060606061,16.2,18.0,19.2,5.2224,3.3216,0
78,2,0.04727272727272727,16.8,18.7,19.4,5.1992,3.1234,0
79,2,0.048484848484848485,17.2,19.0,20.2,5.6358,3.0502,0
80,2,0.051515151515151514,17.8,19.6,20.8,5.1376,3.0368,0
81,2,0.051515151515151514,18.2,20.0,21.0,5.082,2.772,0
82,2,0.06666666666666667,19.0,21.0,22.5,5.6925,3.555,0
83,2,0.0696969696969697,19.0,21.0,22.5,5.9175,3.3075,0
84,2,0.07575757575757576,19.0,21.0,22.5,5.6925,3.6675,0
85,2,0.07878787878787878,19.3,21.3,22.8,6.384,3.534,0
86,2,0.07272727272727272,20.0,22.0,23.5,6.11,3.4075,0
87,2,0.07272727272727272,20.0,22.0,23.5,5.64,3.525,0
88,2,0.07878787878787878,20.0,22.0,23.5,6.11,3.525,0
89,2,0.08181818181818182,20.0,22.0,23.5,5.875,3.525,0
90,2,0.06666666666666667,20.0,22.0,23.5,5.5225,3.995,0
91,2,0.07878787878787878,20.5,22.5,24.0,5.856,3.624,0
92,2,0.09090909090909091,20.5,22.5,24.0,6.792000000000002,3.624,0
93,2,0.08787878787878788,20.7,22.7,24.2,5.9532,3.63,0
94,2,0.09090909090909091,21.0,23.0,24.5,5.2185,3.626,0
95,2,0.10303030303030303,21.5,23.5,25.0,6.275,3.725,0
96,2,0.13636363636363635,22.0,24.0,25.5,7.292999999999998,3.723,0
97,2,0.08787878787878788,22.0,24.0,25.5,6.375,3.825,0
98,2,0.11393939393939394,22.6,24.6,26.2,6.7334,4.1658,0
99,2,0.10909090909090909,23.0,25.0,26.5,6.4395,3.6835,0
100,2,0.1193939393939394,23.5,25.6,27.0,6.561,4.239,0
101,2,0.1321212121212121,25.0,26.5,28.0,7.167999999999998,4.144,0
102,2,0.18181818181818182,25.2,27.3,28.7,8.323,5.1373,0
103,2,0.15757575757575756,25.4,27.5,28.9,7.1672,4.335,0
104,2,0.1606060606060606,25.4,27.5,28.9,7.0516,4.335,0
105,2,0.15151515151515152,25.4,27.5,28.9,7.2828,4.5662,0
106,2,0.15151515151515152,25.9,28.0,29.4,7.8204,4.2042,0
107,2,0.18181818181818182,26.9,28.7,30.1,7.5852,4.6354,0
108,2,0.19393939393939394,27.8,30.0,31.6,7.6156,4.7716,0
109,2,-0.1777311540765968,30.5,32.8,34.0,10.03,6.018,1
110,2,0.336969696969697,32.0,34.5,36.5,10.2565,6.3875,0
111,2,0.509090909090909,32.5,35.0,37.3,11.4884,7.7957,0
112,2,0.41515151515151516,34.0,36.5,39.0,10.880999999999998,6.864,0
113,2,0.42424242424242425,34.0,36.0,38.3,10.6091,6.7408,0
114,2,0.42424242424242425,34.5,37.0,39.4,10.835,6.2646,0
115,2,0.41818181818181815,34.6,37.0,39.3,10.5717,6.3666,0
116,2,0.5454545454545454,36.5,39.0,41.4,11.1366,7.4934,0
117,2,0.3939393939393939,36.5,39.0,41.4,11.1366,6.002999999999999,0
118,2,0.49696969696969695,36.6,39.0,41.3,12.4313,7.3514,0
119,2,0.5151515151515151,36.9,40.0,42.3,11.9286,7.1064,0
120,2,0.5454545454545454,37.0,40.0,42.5,11.73,7.225,0
121,2,0.6151515151515151,37.0,40.0,42.4,12.3808,7.4624,0
122,2,0.49696969696969695,37.1,40.0,42.5,11.135,6.63,0
123,2,0.6666666666666666,39.0,42.0,44.6,12.8002,6.8684,0
124,2,0.6060606060606061,39.8,43.0,45.2,11.9328,7.2772,0
125,2,0.6666666666666666,40.1,43.0,45.5,12.5125,7.4165,0
126,2,0.6060606060606061,40.2,43.5,46.0,12.604,8.142000000000001,0
127,2,0.6060606060606061,41.1,44.0,46.6,12.4888,7.5958,0
128,3,0.12121212121212122,30.0,32.3,34.8,5.568,3.3756,0
129,3,0.18181818181818182,31.7,34.0,37.8,5.7078,4.158,0
130,3,-0.2603089065878769,32.7,35.0,38.8,5.9364,4.3844,1
131,3,0.18181818181818182,34.8,37.3,39.8,6.2884,4.0198,0
132,3,0.2606060606060606,35.5,38.0,40.5,7.29,4.5765,0
133,3,0.20909090909090908,36.0,38.5,41.0,6.396,3.977,0
134,3,0.27636363636363637,40.0,42.5,45.5,7.28,4.3225,0
135,3,0.3090909090909091,40.0,42.5,45.5,6.825,4.459,0
136,3,0.32727272727272727,40.1,43.0,45.8,7.786,5.1296,0
137,3,0.30303030303030304,42.0,45.0,48.0,6.96,4.896,0
138,3,0.34363636363636363,43.2,46.0,48.7,7.792000000000002,4.87,0
139,3,0.4666666666666667,44.8,48.0,51.2,7.68,5.376,0
140,3,0.7144441264909615,48.3,51.7,55.1,8.9262,6.1712,1
141,3,0.7575757575757576,52.0,56.0,59.7,10.6863,6.9849,0
142,3,0.9696969696969697,56.0,60.0,64.0,9.6,6.144,0
143,3,0.9393939393939394,56.0,60.0,64.0,9.6,6.144,0
144,3,1.35427377770576,59.0,63.4,68.0,10.812,7.48,1
145,5,0.0040606060606060606,9.3,9.8,10.8,1.7388,1.0476,0
146,5,0.004545454545454545,10.0,10.5,11.6,1.972,1.16,0
147,5,0.004242424242424242,10.1,10.6,11.6,1.7284,1.1484,0
148,5,0.005878787878787878,10.4,11.0,12.0,2.196,1.38,0
149,5,0.00593939393939394,10.7,11.2,12.4,2.0832,1.2772,0
150,5,0.005272727272727273,10.8,11.3,12.6,1.9782,1.2852,0
151,5,0.006060606060606061,11.3,11.8,13.1,2.2139,1.2838,0
152,5,-0.38589271467752717,11.3,11.8,13.1,2.2139,1.1659,1
153,5,0.00593939393939394,11.4,12.0,13.2,2.2044,1.1484,0
154,5,0.007393939393939394,11.5,12.2,13.4,2.0904,1.3936,0
155,5,-0.24392927789445437,11.7,12.4,13.5,2.43,1.269,1
156,5,0.007393939393939394,12.1,13.0,13.8,2.277,1.2558,0
157,5,0.011939393939393939,13.2,14.3,15.2,2.8728,2.0672,0
158,5,0.01206060606060606,13.8,15.0,16.2,2.9322,1.8792,0
