,CIC0,SM1_Dz,GATS1i,NdsCH,NdssC,MLOGP,LC50,ground_truth
0,3.26,0.8290000000000001,1.676,0,1,1.453,0.3888482058792761,0
1,2.189,0.58,0.863,0,0,1.348,0.32032639397426516,0
2,2.125,0.638,0.831,0,0,1.348,0.36384559054294385,0
3,3.027,0.331,1.472,1,0,1.807,0.3616487080238519,0
4,2.094,0.8270000000000001,0.86,0,0,1.886,0.5583220002092268,0
5,3.222,0.331,2.177,0,0,0.706,0.1847473585103044,0
6,3.179,0.0,1.063,0,0,2.942,0.4073647871116226,0
7,3.0,0.0,0.938,1,0,2.8510000000000004,0.02238471459963054,1
8,2.62,0.499,0.99,0,0,2.942,0.45496390835861494,0
9,2.834,0.134,0.95,0,0,1.591,0.3104927293649964,0
10,2.405,0.134,0.843,0,0,1.769,0.33026467203682397,0
11,2.728,0.223,0.953,0,0,1.591,0.24249398472643582,0
12,2.512,0.223,0.929,1,0,1.769,0.4044356104195,0
13,2.834,0.134,1.237,0,0,1.859,0.3114342504446072,0
14,2.819,0.331,1.271,0,1,0.981,0.28067789517731984,0
15,2.126,0.251,1.114,0,0,0.143,0.22010670572235588,0
16,2.834,0.134,1.3219999999999998,0,0,1.199,0.24688774976461977,0
17,3.014,0.56,1.781,0,0,-0.115,0.08839836803012868,0
18,3.024,0.452,2.698,0,0,1.107,0.04153154095616697,0
19,3.036,0.405,1.205,1,0,1.807,0.38497750810754267,0
20,2.707,0.972,1.889,0,3,-1.169,0.30578512396694224,0
21,2.978,1.246,1.103,0,1,3.988,0.6781044042263835,0
22,3.111,0.732,0.923,0,0,4.0680000000000005,0.5847892038916205,0
23,3.315,0.223,0.96,0,0,3.395,0.47871116225546606,0
24,2.71,0.93,0.7240000000000001,0,0,2.526,0.5005753739930955,0
25,3.326,0.647,0.986,0,1,3.112,0.4213829898524951,0
26,3.332,0.134,1.294,0,0,2.51,0.040251361668501795,1
27,3.896,0.134,1.984,0,0,2.591,0.3553719008264463,0
28,3.155,0.638,2.128,0,0,-0.937,0.4213852505409625,1
29,2.479,0.887,0.954,0,0,1.7480000000000002,0.4397949576315514,0
30,1.075,1.161,0.865,0,1,0.024,0.5579035463960665,0
31,3.645,0.223,1.155,0,0,2.837,0.045598416518325136,1
32,3.079,0.429,2.135,0,0,-0.521,0.13128988387906684,0
33,3.332,0.134,1.519,0,0,2.242,0.6110502774540604,1
34,2.7260000000000004,0.496,1.179,0,1,1.06,0.23182341249084634,0
35,3.532,0.134,1.11,0,0,2.813,0.4301705199288629,0
36,4.216,0.223,1.248,0,0,5.089,0.611256407574014,0
37,3.605,0.0,1.15,0,0,3.562,0.49963385291348467,0
38,2.918,0.223,0.944,3,0,2.066,0.4746312375771524,0
39,3.833,0.405,1.5219999999999998,0,1,3.492,0.21330683125849986,0
40,3.669,0.223,1.599,0,0,2.274,0.37786379328381636,0
41,2.824,0.223,1.0,1,0,2.102,0.36687938068835657,0
42,2.233,0.64,0.92,1,0,2.37,0.4971231300345224,0
43,3.103,0.134,1.344,0,0,1.533,0.3264985877183806,0
44,4.413,0.56,1.17,1,2,3.906,0.8207971545140705,0
45,3.641,0.331,1.933,0,1,1.565,-0.03188904066326198,1
46,3.073,0.693,1.851,0,2,0.787,0.414583115388639,0
47,3.012,0.223,1.023,0,0,2.193,0.27771424450556176,1
48,3.818,0.693,1.6269999999999998,2,2,2.217,0.5721309760435193,0
49,4.171,0.693,1.6780000000000002,0,2,2.849,0.5019353488858667,0
50,3.734,0.223,1.45,2,1,2.642,0.3961711476095826,0
51,3.734,0.223,1.374,2,2,2.642,0.4742127837639921,0
52,2.126,0.977,0.7709999999999999,0,0,3.795,0.547232974160477,0
53,2.216,0.679,0.764,0,0,2.296,0.36677476723506647,0
54,3.179,0.0,1.063,0,0,2.942,0.42242912438539604,0
55,2.62,0.499,0.99,0,0,3.21,0.4474317397217283,0
56,2.728,0.223,0.953,0,0,1.859,0.3872790040799247,0
57,2.126,0.83,0.899,0,0,3.478,0.4706559263521289,0
58,2.216,0.5820000000000001,0.8390000000000001,0,0,2.127,0.37315618788576216,0
59,2.086,0.64,0.838,0,0,2.127,0.4609268751961502,0
60,2.834,0.134,0.95,0,0,1.859,0.2901977194267183,0
61,2.126,0.405,0.917,4,2,0.411,0.6618893189664191,0
62,3.08,0.405,1.609,1,1,1.619,0.4951354744220107,0
63,1.636,0.64,1.695,0,0,0.408,0.3983680301286746,0
64,2.219,0.604,1.537,0,0,2.026,0.3357045716079088,0
65,1.594,0.223,1.3330000000000002,2,0,0.094,0.6532064023433414,0
66,1.818,0.499,1.4680000000000002,1,0,1.672,0.3654147923422953,0
67,1.5,0.83,1.891,0,0,1.817,0.29992677058269696,0
68,1.5119999999999998,0.64,1.844,0,0,0.347,0.32953237786379336,0
69,2.56,0.134,1.758,0,0,0.347,0.23328800083690762,0
70,1.818,0.134,1.445,0,0,0.2019999999999999,0.15754786065488022,0
71,1.359,0.134,1.13,1,0,0.094,0.3574641698922482,0
72,0.667,0.5820000000000001,1.361,0,0,0.2019999999999999,0.2139078651756044,1
73,2.333,0.251,1.946,0,0,-1.053,0.2639397426509049,0
74,2.026,0.223,1.429,1,0,0.2019999999999999,0.5446176378282247,0
75,1.594,0.223,1.068,0,0,0.2019999999999999,0.47191128779161007,0
76,0.965,0.64,1.695,1,0,0.2019999999999999,0.45161627785333197,0
77,1.951,0.405,1.878,0,0,-1.053,0.0,0
78,1.0,0.405,1.5,2,0,-1.306,0.24354011925933672,0
79,1.5119999999999998,0.331,1.6269999999999998,1,0,-0.386,0.2968929804372843,0
80,3.219,0.405,1.605,0,0,0.706,0.10827492415524638,0
81,3.74,0.134,1.581,0,0,2.274,0.625441173303883,1
82,3.669,0.486,1.374,0,0,3.2910000000000004,0.13004063001149324,1
83,3.57,1.374,2.259,0,0,2.05,0.6308191233392614,0
84,5.926,0.134,1.671,0,0,6.202999999999999,0.478606548802176,0
85,3.802,0.405,1.527,1,0,1.869,0.3815252641489696,0
86,2.802,0.223,1.6,0,1,1.064,0.18715346793597656,0
87,2.242,1.096,1.907,0,1,-1.96,0.3497227743487813,0
88,1.94,0.7490000000000001,1.0659999999999998,0,0,1.492,0.3072497123130035,0
89,2.126,0.405,1.69,1,1,0.479,0.36823935558112775,0
90,3.08,0.223,1.5830000000000002,0,1,1.442,0.0333816363198331,1
91,3.277,0.223,1.869,0,0,1.587,0.2125745370854692,0
92,3.179,0.0,1.063,0,0,2.942,0.39428810545036097,0
93,2.728,0.223,0.953,0,0,1.859,0.3386337483000314,0
94,2.62,0.499,0.99,0,0,3.21,0.3961711476095826,0
95,2.216,0.5820000000000001,0.8390000000000001,0,0,2.127,0.6859524511827072,1
96,2.834,0.134,0.95,0,0,1.859,-0.044848693121246896,1
97,2.359,0.405,0.8140000000000001,0,0,0.893,0.34114447117899366,0
98,2.565,0.693,1.987,0,2,0.057,0.41615231718799045,0
99,2.085,1.079,0.895,0,0,4.063,0.49032325557066647,0
100,2.26,0.604,0.836,0,0,3.045,0.3075939515437376,1
101,2.91,0.0,1.0,0,0,2.608,0.35505806046657606,0
102,2.512,0.134,1.293,0,0,0.846,0.24176169055340516,0
103,2.26,0.499,0.907,0,0,2.8760000000000003,0.37577152421801446,0
104,3.08,0.223,1.385,0,0,1.195,0.42510502686488594,1
105,2.866,0.223,1.3330000000000002,0,1,1.05,-0.2333264237300816,1
106,2.386,0.223,0.857,0,0,1.506,0.36196254838372216,0
107,2.512,0.134,1.293,0,0,0.846,0.28852390417407686,0
108,3.509,0.8540000000000001,1.4780000000000002,0,0,2.248,0.29072078669316875,0
109,2.98,0.251,2.261,0,0,-0.063,0.16591693691808768,0
110,2.512,0.134,1.293,0,0,0.846,0.20535620880845276,0
111,2.98,0.251,1.959,0,0,-0.063,0.16717229835756878,0
112,3.462,0.405,1.717,0,1,2.06,0.4230568051051366,0
113,2.755,0.405,1.5590000000000002,0,1,0.996,0.32116330160058587,0
114,2.755,0.405,1.844,0,1,0.996,0.332461554555916,0
115,2.024,0.977,1.328,0,0,2.604,0.1793102507303801,1
116,2.609,0.604,1.529,0,0,2.419,0.3681347421278377,0
117,2.878,0.134,1.6840000000000002,0,0,0.8,0.24929385919029187,0
118,1.961,0.134,1.215,1,0,0.5479999999999999,0.2629982215712941,0
119,2.665,0.251,1.7619999999999998,0,0,-0.534,0.18223663563134218,0
120,1.251,0.251,1.126,0,0,-0.7859999999999999,0.5250549220629773,0
121,2.377,0.331,2.111,0,0,-0.534,0.2200020922690658,0
122,2.366,0.405,2.6060000000000003,0,0,-0.128,0.10293963803745161,0
123,2.878,0.134,2.102,0,0,0.8,0.19656867873208494,0
124,1.961,0.134,1.27,0,0,0.156,0.2565121874673083,0
125,2.462,0.223,1.669,0,0,0.408,0.15388638978972696,0
126,1.778,0.223,1.203,0,0,0.156,0.3133172926038289,0
127,3.609,0.8109999999999999,1.189,0,0,3.2910000000000004,0.5295533005544513,0
128,3.3160000000000003,0.223,1.571,0,1,1.795,0.7162303086787885,1
129,2.0,0.693,1.128,2,2,-0.45,0.45119782404017167,0
130,4.171,0.693,1.6780000000000002,0,2,2.849,0.5150120305471283,0
131,3.3160000000000003,0.223,1.571,0,1,1.795,0.3020190396484988,0
132,3.4410000000000003,0.0,1.6669999999999998,0,0,3.516,0.46919133800606766,0
133,2.4290000000000003,0.83,1.696,0,0,2.604,0.34919970708233083,0
134,3.143,0.134,1.641,0,0,1.209,0.27607490323255574,0
135,2.802,0.223,1.6,1,0,1.064,0.3946019458102312,0
136,2.126,0.405,1.127,0,0,-0.226,0.3298462182236636,0
137,2.709,0.331,2.072,0,0,-0.081,0.1806674338319908,0
138,2.701,0.405,2.003,0,0,-0.081,0.050214457579244684,0
139,3.252,0.0,1.4169999999999998,0,0,3.124,0.3395752693796423,0
140,2.111,0.134,1.253,0,0,0.4679999999999999,0.29929908986295645,0
141,2.085,0.56,2.451,0,0,-0.544,0.11789936185793493,0
142,3.361,0.223,1.4369999999999998,1,2,2.021,0.3258709069986401,0
143,3.52,0.223,1.5619999999999998,0,1,2.129,-0.06706487329519978,1
144,3.014,0.56,1.987,0,1,0.5379999999999999,0.3601841196777906,0
145,3.181,0.604,1.52,0,0,3.1260000000000003,0.48404644837326083,0
146,3.369,0.134,1.614,0,0,1.587,0.33465843707500786,0
147,3.277,0.223,1.633,0,0,1.587,0.30620357778010254,0
148,2.507,0.405,1.5,2,0,0.076,0.4062140391254316,0
149,3.277,0.486,1.416,0,0,2.604,0.5666910764724343,0
150,2.67,0.496,2.047,0,0,-0.917,0.18715346793597656,0
151,2.704,0.56,1.965,0,0,-0.917,0.010147504969139031,0
152,3.277,0.486,1.3430000000000002,0,0,2.604,0.385291348467413,0
153,3.5660000000000003,0.134,1.595,0,0,1.94,0.38351291976148133,0
154,2.594,0.251,1.287,0,0,0.4539999999999999,0.17742441677999793,0
155,3.485,0.223,1.614,0,0,1.94,0.36133486766398165,0
156,3.3160000000000003,0.223,1.571,1,0,1.795,0.4107124176169056,0
157,3.596,0.604,1.515,0,0,4.673,0.5554974369703944,0
158,3.74,0.134,1.581,0,0,3.1860000000000004,0.4543362276388744,0
159,3.669,0.223,1.599,0,0,3.1860000000000004,0.41123548488335604,0
160,3.199,0.56,2.033,0,0,-0.129,0.5799006812135165,1
161,2.57,1.028,2.137,0,0,1.466,0.30547128360707193,0
162,3.641,0.405,1.531,0,1,3.289,0.32733549534470135,0
163,4.005,0.223,1.545,0,1,3.953,0.5232764933570456,0
164,3.896,0.134,1.571,0,0,3.503,0.6946824828756777,1
165,3.201,0.693,2.004,0,0,-0.937,0.028977926561355796,0
166,3.98,0.223,1.578,0,0,3.806,0.49858771838058374,0
167,4.114,0.223,1.571,0,0,4.098,0.8415732528644263,1
168,4.237,0.223,1.565,0,0,4.379,0.5455591589078355,0
169,4.63,0.405,1.4580000000000002,2,1,5.579,0.32283711685322736,0
170,2.456,0.331,1.259,0,1,0.496,0.2934407364787112,0
171,2.536,0.764,1.165,0,1,2.619,0.4328904697144053,0
172,3.4610000000000003,0.223,1.281,0,0,2.813,0.4564284967046763,0
173,2.641,0.496,1.077,0,1,1.6969999999999998,0.3644732712626844,0
174,3.38,0.638,1.506,0,1,1.57,0.4526624123862329,0
175,2.544,0.223,1.245,0,0,1.064,0.14175122920807615,0
176,1.279,1.16,1.714,0,0,1.209,0.3016005858353385,0
177,2.572,1.834,1.35,0,2,3.115,0.8806360497960037,0
178,3.222,1.501,0.872,0,0,5.149,0.6075949367088608,0
179,3.728,0.956,1.17,0,0,4.789,0.577570875614604,0
180,3.358,1.348,1.328,0,0,1.89,0.39742650904906374,0
181,2.96,0.88,1.53,1,1,0.787,0.5430484360288733,0
182,4.81,0.693,1.42,0,2,5.426,0.26101056595878236,0
183,3.3110000000000004,0.56,0.927,0,1,3.4610000000000003,0.5463960665341563,0
184,3.023,0.56,1.168,0,1,2.294,0.40495867768595045,0
185,2.585,1.586,0.917,0,0,5.207000000000001,0.661784705513129,0
186,1.925,1.318,0.595,0,0,3.764,0.4866617847055132,0
187,2.454,1.075,0.951,0,0,2.359,0.5133382152944869,0
188,2.508,0.58,0.941,0,0,1.7009999999999998,0.38842975206611574,0
189,2.222,0.711,0.8490000000000001,0,0,0.828,0.3753530704048541,0
190,3.389,0.223,0.8490000000000001,0,1,3.587,0.4242075530913276,0
191,2.031,0.8909999999999999,0.8220000000000001,0,0,2.9560000000000004,0.45684695051783664,0
192,1.965,1.408,0.7090000000000001,0,0,2.736,0.5478606548802176,0
193,3.3510000000000004,0.496,1.466,0,0,1.097,0.24469086724552777,0
194,3.452,0.331,1.476,1,0,2.402,0.39930955120828543,0
195,4.288,0.865,1.327,0,0,4.295,0.5846845904383304,0
196,2.359,0.405,0.8140000000000001,0,0,0.893,0.44293336123025423,0
197,2.085,1.079,0.895,0,0,4.063,0.22680127230140945,1
198,1.962,0.934,0.8190000000000001,0,0,2.729,0.4438748823098651,0
199,3.0410000000000004,0.947,1.298,0,1,1.976,0.6856365728632703,0
200,2.377,0.8270000000000001,0.938,0,0,2.239,0.3876974578930851,0
201,3.023,0.56,1.168,1,0,1.239,0.33737838686055033,0
202,2.777,0.56,1.127,1,0,0.922,0.3206402343341354,0
203,2.218,0.923,1.074,0,0,0.291,0.3330892352756565,0
204,3.103,0.134,1.521,0,0,2.193,-0.03645650873627071,1
205,1.822,0.8290000000000001,0.8340000000000001,0,0,2.509,0.40590019876556127,0
206,3.459,1.47,1.483,0,2,0.491,0.46375143843498284,0
207,2.442,1.211,2.254,0,0,1.401,0.44481640338947587,0
208,1.945,0.889,0.835,0,0,1.969,0.4052725180458207,0
209,3.315,0.223,1.1,1,0,2.7230000000000003,0.44952400878753007,0
210,2.8680000000000003,1.286,1.294,0,0,1.919,0.4975415838476828,0
211,2.971,0.8590000000000001,2.162,0,0,2.273,0.46511141332775396,0
212,3.378,0.134,0.988,0,0,3.395,0.48090804477455806,0
213,2.9610000000000003,0.405,1.189,0,0,1.3119999999999998,0.26686891934302753,0
214,3.52,0.223,1.5619999999999998,1,0,2.129,0.374097708965373,0
215,3.012,0.223,1.023,0,0,2.193,0.08221819928629298,1
216,2.778,0.405,1.17,1,0,1.49,0.30097290511559793,0
217,3.08,0.223,1.5830000000000002,1,0,1.442,0.3843498273878021,0
218,3.281,0.693,1.808,0,2,1.121,0.31823412490846326,0
219,2.359,0.405,0.8140000000000001,0,0,0.893,0.663981588032221,0
220,2.026,0.223,1.6669999999999998,1,0,0.2019999999999999,0.27168113819437184,0
221,2.507,0.405,1.5,0,2,0.076,0.08668579072965696,1
222,3.462,0.405,1.717,0,1,2.06,0.4346688984203369,0
223,2.462,0.223,1.625,1,0,0.655,0.3767130452976253,0
224,3.026,0.405,1.787,0,1,1.3730000000000002,0.23189621627157542,1
225,2.4290000000000003,0.405,1.954,0,0,-0.473,0.09185061198870176,0
226,2.8360000000000003,0.693,1.43,0,2,0.434,0.023844371689810906,1
227,4.285,0.134,1.551,0,0,4.379,0.6488126373051575,0
228,2.5340000000000003,0.872,1.619,0,0,-1.186,0.2802594413641595,0
229,4.077,0.956,1.909,0,0,3.234,0.26815689842431756,1
230,3.137,0.405,1.3119999999999998,0,2,0.7490000000000001,0.10806569724866619,0
231,2.0340000000000003,0.64,1.727,0,0,0.8,0.2649858771838059,0
232,2.0340000000000003,0.331,1.56,0,1,0.133,0.21592216759075217,0
233,1.6669999999999998,1.278,1.5,0,2,2.459,0.4082016947379433,0
234,2.283,1.07,1.223,0,0,1.112,0.2754673959090779,1
235,3.164,0.223,0.909,0,0,2.455,0.32001255361439485,0
236,3.03,1.821,1.027,0,2,5.468999999999999,0.7159744743173972,0
237,2.031,0.872,1.475,0,1,0.2019999999999999,0.6664923109111832,0
238,4.216,0.223,1.248,0,0,4.177,0.5991212469923632,0
239,2.119,0.923,1.179,0,1,0.982,-0.31253213281496284,1
240,3.914,0.56,1.6369999999999998,0,1,3.048,0.40516790459253066,0
241,3.542,1.38,1.264,0,0,1.971,0.6518464274505701,0
242,3.102,0.693,1.3159999999999998,0,2,2.005,0.3554765142797364,0
243,3.393,1.2919999999999998,2.122,0,3,1.595,0.35819646406527883,0
244,3.1910000000000003,0.223,0.847,0,0,2.859,0.5140705094675174,0
245,2.639,1.462,0.83,0,0,5.206,0.6205670049168324,0
246,2.47,1.4369999999999998,1.346,2,2,1.821,0.6588555288210064,0
247,2.164,1.4369999999999998,1.227,0,2,2.573,0.6437911915472331,0
248,3.247,0.638,0.889,0,1,2.922,0.48404644837326083,0
249,4.255,1.695,1.087,0,0,2.294,0.4626006904487917,0
250,3.629,0.331,1.4780000000000002,0,1,2.821,0.3334030756355268,0
251,3.08,0.8270000000000001,1.079,2,0,1.155,0.19368228370280516,1
252,3.012,0.223,0.76,0,0,2.637,0.47776964117585524,0
253,2.374,1.16,0.979,0,1,3.818,0.5225441991840151,0
254,2.855,1.331,1.325,0,2,0.4539999999999999,0.731457265404331,0
255,2.024,0.405,1.605,0,1,0.133,0.13118527042577674,0
256,3.739,0.0,1.25,1,2,3.267,0.21926979809603514,0
257,3.426,0.693,1.4880000000000002,0,1,1.294,0.31091118317815675,0
258,2.878,0.134,1.6840000000000002,0,0,0.8,0.24814311120410085,0
259,4.785,1.263,1.471,1,4,2.749,1.0,0
260,3.286,0.357,2.104,0,0,-0.521,0.17972591275237995,0
261,2.507,0.405,1.652,1,1,0.888,0.47599121246992365,0
262,2.857,0.973,1.838,0,2,1.121,0.5500575373993095,0
263,3.924,0.693,1.707,0,2,2.314,0.4874986923318339,0
264,3.6010000000000004,0.223,1.35,3,2,2.545,0.44638560518882736,0
265,3.634,0.693,1.747,0,2,1.742,0.4182445862537923,0
266,1.968,0.331,1.891,0,0,-1.053,0.1482372633120619,0
267,2.4290000000000003,0.405,1.927,0,1,0.586,0.2646720368239356,0
268,3.029,0.331,1.847,0,0,0.314,0.25326917041531544,0
269,3.605,0.0,1.15,0,0,3.562,0.466262161313945,0
270,2.024,0.83,1.761,0,0,2.226,0.30902814101893505,0
271,3.026,0.405,1.548,0,1,1.3730000000000002,0.09998098079502776,1
272,3.462,0.405,1.717,0,1,2.06,0.47117899361857946,0
273,3.669,0.223,1.778,0,0,2.274,0.37148237263312067,0
274,2.9,1.275,0.913,0,1,3.574,0.6811381943717962,0
275,3.832,0.223,1.587,0,0,3.503,0.4558008159849357,0
276,4.285,0.134,1.71,0,0,3.467,0.5572758656763259,0
277,3.164,2.044,0.83,0,1,4.912,0.6339575269379643,0
278,3.332,0.134,1.294,0,0,2.242,0.34742127837639925,0
279,2.344,0.5820000000000001,1.59,0,0,1.467,0.31969871325452454,0
280,3.353,0.8540000000000001,1.944,0,0,1.297,0.2508630609896433,0
281,2.9930000000000003,0.8109999999999999,1.232,0,2,-0.059,0.5588450674756773,0
282,2.914,0.7979999999999999,0.975,0,1,2.715,0.6322912972583289,1
283,3.111,0.331,1.011,0,1,2.042,0.3344492101684277,0
284,2.777,0.56,1.127,1,0,1.433,0.493147818809499,0
285,3.188,1.182,1.244,0,1,1.845,0.35764240744571774,1
286,3.134,0.223,1.319,0,0,1.795,0.2809917355371901,0
287,3.514,0.134,1.07,1,0,3.315,0.8113819437179621,0
288,3.4360000000000004,0.331,0.951,0,0,2.786,0.448268647348049,0
289,2.217,0.872,0.875,0,0,1.769,0.4319489486347945,0
290,3.219,0.405,1.605,0,0,0.706,0.11308714300659065,0
291,3.645,0.223,1.155,0,0,3.105,0.5361439481117272,0
292,2.685,0.405,1.145,0,0,1.246,0.3312061931164348,0
293,2.685,0.405,1.145,0,0,1.246,0.31980332670781464,0
294,2.9610000000000003,0.405,1.388,0,0,1.58,0.3156187885762109,0
295,3.52,0.223,1.59,0,0,1.882,0.2960560728109635,0
296,4.029,0.965,1.729,0,0,4.038,0.46008996756982956,0
297,1.883,0.711,1.162,0,0,0.602,0.7613223706000768,1
298,3.432,0.638,1.385,0,1,1.459,0.5529867140914322,0
299,3.369,0.134,1.614,0,0,1.587,0.22732503399937232,0
300,3.323,1.232,1.134,0,0,4.207,0.6744429333612303,0
301,3.73,0.8290000000000001,1.5619999999999998,0,1,3.182,0.12014052902702504,1
